,user_name,quote
1,Threepio,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!
2,Threepio,We're doomed!
3,Threepio,There'll be no escape for the Princess this time.
4,Threepio,What's that?
5,Threepio,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
6,Luke,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!
7,Threepio,"Artoo! Artoo-Detoo, where are you?"
8,Threepio,At last!  Where have you been?
9,Threepio,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!
10,Threepio,"Wait a minute, where are you going?"
11,Imperial officer,The Death Star plans are not in the main computer.
12,Vader,Where are those transmissions you intercepted?
13,Rebel officer,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.
14,Vader,If this is a consular ship... where is the Ambassador?
15,Vader,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!"
16,Trooper,There she is! Set for stun!
17,Trooper,She'll be all right. Inform Lord Vader we have a prisoner.
18,Threepio,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure.."
19,Threepio,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you."
20,Threepio,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!
21,Threepio,I'm going to regret this.
22,Chief pilot,There goes another one.
23,Captain,Hold your fire.  There are no life forms.  It must have been short-circuited.
24,Threepio,"That's funny, the damage doesn't look as bad from out here."
25,Threepio,Are you sure this things safe?
26,Woman,I've told you kids to slow down!
27,Fixer,Did I hear a young noise blast through here?
28,Camie,It was just Wormie on another rampage.
29,Luke,Shape it up you guys!...  Biggs?
30,Luke,I didn't know you were back!  When did you get in?
31,Biggs,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working. "
32,Luke,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?"
33,Biggs,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.
34,Luke,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!
35,Deak,Not again!  Forget it.
36,Luke,There they are!
37,Biggs,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling."
38,Luke,But there was a lot of firing earlier...
39,Luke,"Hey, easy with those..."
40,Camie,"Don't worry about it, Wormie."
41,Fixer,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing..."
42,Leia,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic..."
43,Vader,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you."
44,Leia,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
45,Vader,You're a part of the Rebel Alliance... and a traitor.  Take her away!
46,Commander,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate."
47,Vader,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!
48,Commander,you anything.
49,Vader,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!
50,Second officer,"Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard."
51,Vader,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time."
52,Commander,"Yes, sir."
53,Threepio,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.
54,Threepio,I've got to rest before I fall apart.  My joints are almost frozen. 
55,Threepio,What a desolate place this is.
56,Threepio,Where are you going?
57,Threepio,"Well, I'm not going that way.  It's much too rocky.  This way is much easier."
58,Threepio,What makes you think there are settlements over there?
59,Threepio,Don't get technical with me.
60,Threepio,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!"
61,Threepio,"And don't let me catch you following me begging for help, because you won't get it."
62,Threepio,No more adventures.  I'm not going that way.
63,Threepio,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better."
64,Threepio,"Wait, what's that?  A transport!  I'm saved!"
65,Threepio,"Over here!  Help!  Please, help!"
66,Luke,"... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic."
67,Biggs,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall."
68,Luke,Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...
69,Biggs,I've missed you kid.
70,Luke,"Well, things haven't been the same since you left, Biggs.  It's been so...quiet."
71,Biggs,"Luke, I didn't come back just to say goodbye...  I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know."
72,Luke,What are you talking about?
